"SIS ID","course_id","Section Name","Term StartDate","Term EndDate","created_at","restrict_enrollments_to_section_dates","nonxlist_course_id","sis_section_id","sis_course_id","integration_id","sis_import_id","School SIS ID"
"18030","20619","GRAPHIC DESIGN","","","2020-05-18T16:19:35Z","","","","AR2301-A20-A01","","","1"
"18057","20621","NERVE AND MUSCLE PHYSIOLOGY","","","2020-05-18T16:19:54Z","","","","BB3511-A20-A02","","","1"
"18018","20622","ELEMENTARY ARABIC I","","","2020-05-18T16:19:23Z","","","","AB1531-A20-A01","","","1"
"18058","20624","CELL CULTURE TECHNIQUES FOR ANIMAL CELLS","","","2020-05-18T16:19:56Z","","","","BB3513-A20-A01","","","1"
"18020","20625","ELEMENTARY ARABIC I","","","2020-05-18T16:19:25Z","","","","AB1531-A20-A02","","","1"
"18091","20626","BIOMEDICAL INSTRUMENTATION DESIGN","","","2020-05-18T16:20:19Z","","","","BME4023-A20-A01","","","1"
"18036","20627","3D ANIMATION I","","","2020-05-18T16:19:38Z","","","","AR2333-A20-A01","","","1"
"18060","20628","CELL CULTURE TECHNIQUES FOR ANIMAL CELLS","","","2020-05-18T16:19:57Z","","","","BB3513-A20-A02","","","1"
"18021","20629","INTERMEDIATE ARABIC II","","","2020-05-18T16:19:25Z","","","","AB220X-A20-A01","","","1"
"18081","20630","MQP CAPSTONE DESIGN","","","2020-05-18T16:20:13Z","","","","BME4300-A20-A01","","","1"
"18038","20631","VIDEO PRODUCTION","","","2020-05-18T16:19:38Z","","","","AR2401-A20-A01","","","1"
"18061","20633","IMMUNOTHERAPIES: THE NEXT GENERATION OF PHARMACEUTICALS","","","2020-05-18T16:19:57Z","","","","BB353X-A20-A01","","","1"
"18084","20634","MQP CAPSTONE DESIGN","","","2020-05-18T16:20:16Z","","","","BME4300-A20-A02","","","1"
"18044","20635","DIGITAL PAINTING","","","2020-05-18T16:19:41Z","","","","AR2700-A20-A01","","","1"
"18022","20636","PERFORMANCE MEASUREMENT AND MANAGEMENT","","","2020-05-18T16:19:26Z","","","","ACC505-A20-A960","","","1"
"18087","20638","MQP CAPSTONE DESIGN","","","2020-05-18T16:20:17Z","","","","BME4300-A20-A03","","","1"
